empty_count,longitude,latitude
39,50.451757508676074,30.522413170763514
76,50.452804445806855,30.516209678584172
38,50.45246014505101,30.52217026274093
14,50.45399150858974,30.521392519583415
76,50.455320354881756,30.518296768651677
8,50.451757508676074,30.522413170763514
63,50.45464457665979,30.520918411454133
49,50.45464457665979,30.520918411454133
53,50.449327750213534,30.514759144369048
55,50.44808993233204,30.522192287686543
31,50.454483843951586,30.516823703248743
94,50.45246014505101,30.52217026274093
92,50.45399150858974,30.521392519583415
90,50.44907610254229,30.52285809923405
54,50.45141376756953,30.515629464898122
8,50.44875289543249,30.515980594203207
81,50.449327750213534,30.514759144369048
22,50.45141705617739,30.52258708774366
57,50.45141376756953,30.515629464898122
17,50.44907610254229,30.52285809923405
71,50.45464457665979,30.520918411454133
77,50.455320354881756,30.518296768651677
27,50.44950972411,30.52336244018868
51,50.448763236082186,30.522590446003314
69,50.455245815794285,30.519704425838704
13,50.454483843951586,30.516823703248743
63,50.45263061102719,30.516137151873416
17,50.45141376756953,30.515629464898122
85,50.45399150858974,30.521392519583415
59,50.448763236082186,30.522590446003314
90,50.454483843951586,30.516823703248743
85,50.449327750213534,30.514759144369048
80,50.455320354881756,30.518296768651677
13,50.455245815794285,30.519704425838704
40,50.454483843951586,30.516823703248743
55,50.4500230893322,30.515049251212073
95,50.45464457665979,30.520918411454133
82,50.45366497455471,30.521629573648056
83,50.45366497455471,30.521629573648056
22,50.45246014505101,30.52217026274093
